TargetSize=256 * 154
DataRanking_1 = TargetSize:157*28; Pos:10,19; OriginSize:157 * 28;
DataRanking_2 = TargetSize:157*30; Pos:10,19; OriginSize:157 * 30;
DataRanking_3 = TargetSize:157*37; Pos:10,15; OriginSize:157 * 37;
DataRanking_4 = TargetSize:157*49; Pos:10,10; OriginSize:157 * 49;
DataRanking_5 = TargetSize:157*62; Pos:10,5; OriginSize:157 * 62;
DataRanking_6 = TargetSize:157*72; Pos:10,1; OriginSize:157 * 72;
DataRanking_7 = TargetSize:159*75; Pos:9,0; OriginSize:159 * 75;
DataRanking_8 = TargetSize:162*89; Pos:8,-7; OriginSize:162 * 89;
DataRanking_9 = TargetSize:165*111; Pos:6,-13; OriginSize:165 * 111;
DataRanking_10 = TargetSize:167*120; Pos:4,-13; OriginSize:167 * 120;
DataRanking_11 = TargetSize:169*124; Pos:2,-10; OriginSize:169 * 124;
DataRanking_12 = TargetSize:178*110; Pos:-3,-2; OriginSize:178 * 110;
DataRanking_13 = TargetSize:187*94; Pos:-4,6; OriginSize:187 * 94;
DataRanking_14 = TargetSize:190*90; Pos:-3,8; OriginSize:190 * 91;
DataRanking_15 = TargetSize:188*86; Pos:0,11; OriginSize:188 * 86;
DataRanking_16 = TargetSize:177*86; Pos:8,11; OriginSize:177 * 86;
DataRanking_17 = TargetSize:172*86; Pos:15,11; OriginSize:172 * 86;
DataRanking_18 = TargetSize:177*86; Pos:18,10; OriginSize:177 * 86;
DataRanking_19 = TargetSize:184*89; Pos:15,11; OriginSize:184 * 90;
DataRanking_20 = TargetSize:196*86; Pos:8,12; OriginSize:196 * 86;
DataRanking_21 = TargetSize:205*72; Pos:3,18; OriginSize:205 * 72;
DataRanking_22 = TargetSize:202*79; Pos:1,20; OriginSize:202 * 79;
DataRanking_23 = TargetSize:203*98; Pos:1,11; OriginSize:203 * 98;
DataRanking_24 = TargetSize:210*102; Pos:4,10; OriginSize:210 * 102;
DataRanking_25 = TargetSize:237*105; Pos:-9,7; OriginSize:237 * 105;
DataRanking_26 = TargetSize:236*98; Pos:-10,10; OriginSize:236 * 98;
DataRanking_27 = TargetSize:248*97; Pos:-4,17; OriginSize:248 * 97;
DataRanking_28 = TargetSize:252*89; Pos:-2,15; OriginSize:252 * 90;
DataRanking_29 = TargetSize:235*89; Pos:-10,16; OriginSize:235 * 90;
DataRanking_30 = TargetSize:235*89; Pos:-10,16; OriginSize:235 * 90;
DataRanking_31 = TargetSize:235*96; Pos:-10,19; OriginSize:235 * 96;
DataRanking_32 = TargetSize:235*106; Pos:-10,23; OriginSize:235 * 106;
DataRanking_33 = TargetSize:236*97; Pos:-10,18; OriginSize:236 * 97;
DataRanking_34 = TargetSize:237*72; Pos:-9,6; OriginSize:237 * 72;
DataRanking_35 = TargetSize:221*71; Pos:-3,5; OriginSize:221 * 71;
DataRanking_36 = TargetSize:203*71; Pos:5,5; OriginSize:203 * 71;
DataRanking_37 = TargetSize:189*71; Pos:9,5; OriginSize:189 * 71;
DataRanking_38 = TargetSize:188*71; Pos:9,5; OriginSize:188 * 71;
DataRanking_39 = TargetSize:186*71; Pos:8,5; OriginSize:186 * 71;
DataRanking_40 = TargetSize:213*71; Pos:21,5; OriginSize:213 * 71;
DataRanking_41 = TargetSize:207*71; Pos:19,5; OriginSize:207 * 71;
DataRanking_42 = TargetSize:200*71; Pos:18,5; OriginSize:200 * 71;
DataRanking_43 = TargetSize:193*71; Pos:17,5; OriginSize:193 * 71;
DataRanking_44 = TargetSize:186*71; Pos:16,5; OriginSize:186 * 71;
DataRanking_45 = TargetSize:180*71; Pos:15,5; OriginSize:180 * 71;
DataRanking_46 = TargetSize:175*71; Pos:13,5; OriginSize:175 * 71;
DataRanking_47 = TargetSize:172*71; Pos:12,5; OriginSize:172 * 71;
DataRanking_48 = TargetSize:168*70; Pos:10,6; OriginSize:168 * 70;
DataRanking_49 = TargetSize:166*68; Pos:9,6; OriginSize:166 * 68;
DataRanking_50 = TargetSize:165*65; Pos:8,6; OriginSize:165 * 65;
DataRanking_51 = TargetSize:165*64; Pos:8,7; OriginSize:165 * 64;
DataRanking_52 = TargetSize:166*61; Pos:9,7; OriginSize:166 * 61;
DataRanking_53 = TargetSize:166*60; Pos:9,8; OriginSize:166 * 60;
DataRanking_54 = TargetSize:166*57; Pos:9,8; OriginSize:166 * 58;
DataRanking_55 = TargetSize:166*57; Pos:9,8; OriginSize:166 * 57;
DataRanking_56 = TargetSize:166*57; Pos:9,8; OriginSize:166 * 57;
DataRanking_57 = TargetSize:166*57; Pos:9,8; OriginSize:166 * 57;
DataRanking_58 = TargetSize:166*57; Pos:9,8; OriginSize:166 * 57;
DataRanking_59 = TargetSize:166*57; Pos:9,8; OriginSize:166 * 57;
DataRanking_60 = TargetSize:166*57; Pos:9,8; OriginSize:166 * 58;
