TargetSize=460 * 184
FinishRace_1 = TargetSize:382*126; Pos:-39,-11; OriginSize:382 * 126;
FinishRace_2 = TargetSize:382*111; Pos:-39,-2; OriginSize:382 * 112;
FinishRace_3 = TargetSize:382*111; Pos:-39,-2; OriginSize:382 * 112;
FinishRace_4 = TargetSize:383*126; Pos:-38,5; OriginSize:383 * 126;
FinishRace_5 = TargetSize:375*126; Pos:-42,5; OriginSize:375 * 126;
FinishRace_6 = TargetSize:388*120; Pos:-31,2; OriginSize:388 * 120;
FinishRace_7 = TargetSize:397*120; Pos:-27,2; OriginSize:397 * 120;
FinishRace_8 = TargetSize:390*124; Pos:-21,4; OriginSize:390 * 124;
FinishRace_9 = TargetSize:390*124; Pos:-21,4; OriginSize:390 * 124;
FinishRace_10 = TargetSize:397*119; Pos:-24,1; OriginSize:397 * 119;
FinishRace_11 = TargetSize:389*113; Pos:-20,-1; OriginSize:389 * 114;
FinishRace_12 = TargetSize:404*111; Pos:-28,-2; OriginSize:404 * 112;
FinishRace_13 = TargetSize:404*111; Pos:-28,-2; OriginSize:404 * 112;
FinishRace_14 = TargetSize:349*139; Pos:0,11; OriginSize:349 * 139;
FinishRace_15 = TargetSize:349*139; Pos:0,11; OriginSize:349 * 139;
FinishRace_16 = TargetSize:349*131; Pos:0,7; OriginSize:349 * 131;
FinishRace_17 = TargetSize:349*131; Pos:0,7; OriginSize:349 * 131;
FinishRace_18 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_19 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_20 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_21 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_22 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_23 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_24 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_25 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_26 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_27 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_28 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_29 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_30 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_31 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_32 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_33 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_34 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_35 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_36 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_37 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_38 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_39 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_40 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_41 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_42 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_43 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_44 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_45 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_46 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_47 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_48 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_49 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
FinishRace_50 = TargetSize:447*111; Pos:-6,-2; OriginSize:447 * 112;
FinishRace_51 = TargetSize:432*121; Pos:-7,2; OriginSize:432 * 121;
FinishRace_52 = TargetSize:432*121; Pos:-7,2; OriginSize:432 * 121;
FinishRace_53 = TargetSize:393*117; Pos:-26,0; OriginSize:393 * 117;
FinishRace_54 = TargetSize:330*117; Pos:0,0; OriginSize:330 * 117;
FinishRace_55 = TargetSize:326*141; Pos:-7,12; OriginSize:326 * 141;
FinishRace_56 = TargetSize:318*141; Pos:-11,12; OriginSize:318 * 141;
FinishRace_57 = TargetSize:274*148; Pos:-3,16; OriginSize:274 * 148;
FinishRace_58 = TargetSize:316*148; Pos:-25,16; OriginSize:316 * 148;
FinishRace_59 = TargetSize:340*111; Pos:-13,-2; OriginSize:340 * 112;
FinishRace_60 = TargetSize:359*111; Pos:-22,-2; OriginSize:359 * 112;
FinishRace_61 = TargetSize:285*136; Pos:14,10; OriginSize:285 * 136;
FinishRace_62 = TargetSize:236*148; Pos:-31,4; OriginSize:236 * 148;
