TargetSize=400 * 200
FourthCircle_1 = TargetSize:364*40; Pos:-11,18; OriginSize:364 * 40;
FourthCircle_2 = TargetSize:364*74; Pos:-11,9; OriginSize:364 * 74;
FourthCircle_3 = TargetSize:364*92; Pos:-11,0; OriginSize:364 * 92;
FourthCircle_4 = TargetSize:343*92; Pos:-11,0; OriginSize:343 * 92;
FourthCircle_5 = TargetSize:264*98; Pos:-35,3; OriginSize:264 * 98;
FourthCircle_6 = TargetSize:306*98; Pos:-14,3; OriginSize:306 * 98;
FourthCircle_7 = TargetSize:291*79; Pos:-6,6; OriginSize:291 * 79;
FourthCircle_8 = TargetSize:258*85; Pos:-12,3; OriginSize:258 * 85;
FourthCircle_9 = TargetSize:337*137; Pos:-11,1; OriginSize:337 * 137;
FourthCircle_10 = TargetSize:337*137; Pos:-11,1; OriginSize:337 * 137;
FourthCircle_11 = TargetSize:283*132; Pos:-6,10; OriginSize:283 * 132;
FourthCircle_12 = TargetSize:227*134; Pos:-4,9; OriginSize:227 * 134;
FourthCircle_13 = TargetSize:275*104; Pos:-27,-6; OriginSize:275 * 105;
FourthCircle_14 = TargetSize:276*104; Pos:-27,-6; OriginSize:276 * 105;
FourthCircle_15 = TargetSize:292*151; Pos:-3,16; OriginSize:292 * 151;
FourthCircle_16 = TargetSize:271*151; Pos:-24,16; OriginSize:271 * 151;
FourthCircle_17 = TargetSize:336*158; Pos:7,20; OriginSize:336 * 158;
FourthCircle_18 = TargetSize:336*158; Pos:7,20; OriginSize:336 * 158;
FourthCircle_19 = TargetSize:336*104; Pos:7,-6; OriginSize:336 * 105;
FourthCircle_20 = TargetSize:277*104; Pos:36,-6; OriginSize:277 * 105;
FourthCircle_21 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
FourthCircle_22 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
FourthCircle_23 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
FourthCircle_24 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
FourthCircle_25 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
FourthCircle_26 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
FourthCircle_27 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
FourthCircle_28 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
FourthCircle_29 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
FourthCircle_30 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
FourthCircle_31 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
FourthCircle_32 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
FourthCircle_33 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
FourthCircle_34 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
FourthCircle_35 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
FourthCircle_36 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
FourthCircle_37 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
FourthCircle_38 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
FourthCircle_39 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
FourthCircle_40 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
FourthCircle_41 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
FourthCircle_42 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
FourthCircle_43 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
FourthCircle_44 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
FourthCircle_45 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
FourthCircle_46 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
FourthCircle_47 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
FourthCircle_48 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
FourthCircle_49 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
FourthCircle_50 = TargetSize:344*104; Pos:-11,-6; OriginSize:344 * 105;
FourthCircle_51 = TargetSize:344*104; Pos:-11,-6; OriginSize:344 * 105;
FourthCircle_52 = TargetSize:236*126; Pos:16,4; OriginSize:237 * 126;
FourthCircle_53 = TargetSize:236*126; Pos:16,4; OriginSize:237 * 126;
FourthCircle_54 = TargetSize:363*101; Pos:-11,-4; OriginSize:363 * 101;
FourthCircle_55 = TargetSize:324*116; Pos:-38,11; OriginSize:324 * 116;
FourthCircle_56 = TargetSize:361*126; Pos:-19,27; OriginSize:361 * 126;
FourthCircle_57 = TargetSize:361*117; Pos:-19,31; OriginSize:361 * 118;
FourthCircle_58 = TargetSize:320*138; Pos:-15,30; OriginSize:320 * 138;
FourthCircle_59 = TargetSize:320*138; Pos:-15,30; OriginSize:320 * 138;
FourthCircle_60 = TargetSize:314*78; Pos:-33,11; OriginSize:314 * 78;
FourthCircle_61 = TargetSize:297*78; Pos:-41,11; OriginSize:297 * 78;
FourthCircle_62 = TargetSize:284*120; Pos:-7,32; OriginSize:284 * 120;
