TargetSize=240 * 80
Next_1 = TargetSize:232*62; Pos:0,0; OriginSize:232 * 62;
Next_2 = TargetSize:232*62; Pos:0,0; OriginSize:232 * 62;
Next_3 = TargetSize:232*62; Pos:0,0; OriginSize:232 * 62;
Next_4 = TargetSize:232*63; Pos:0,0; OriginSize:232 * 63;
Next_5 = TargetSize:232*65; Pos:0,1; OriginSize:232 * 65;
Next_6 = TargetSize:232*68; Pos:0,3; OriginSize:232 * 68;
Next_7 = TargetSize:232*68; Pos:0,3; OriginSize:232 * 68;
Next_8 = TargetSize:235*74; Pos:1,0; OriginSize:235 * 74;
Next_9 = TargetSize:239*74; Pos:0,0; OriginSize:239 * 74;
Next_10 = TargetSize:239*74; Pos:0,0; OriginSize:239 * 74;
Next_11 = TargetSize:239*74; Pos:0,0; OriginSize:239 * 74;
Next_12 = TargetSize:239*74; Pos:0,0; OriginSize:239 * 74;
Next_13 = TargetSize:239*74; Pos:0,0; OriginSize:239 * 74;
Next_14 = TargetSize:239*74; Pos:0,0; OriginSize:239 * 74;
Next_15 = TargetSize:239*74; Pos:0,0; OriginSize:239 * 74;
Next_16 = TargetSize:239*74; Pos:0,0; OriginSize:239 * 74;
Next_17 = TargetSize:239*74; Pos:0,0; OriginSize:239 * 74;
Next_18 = TargetSize:239*74; Pos:0,0; OriginSize:239 * 74;
Next_19 = TargetSize:239*74; Pos:0,0; OriginSize:239 * 74;
Next_20 = TargetSize:239*74; Pos:0,0; OriginSize:239 * 74;
Next_21 = TargetSize:239*74; Pos:0,0; OriginSize:239 * 74;
