TargetSize=256 * 154
SelectTrackTitle_1 = TargetSize:163*53; Pos:9,9; OriginSize:163 * 53;
SelectTrackTitle_2 = TargetSize:163*54; Pos:9,9; OriginSize:163 * 54;
SelectTrackTitle_3 = TargetSize:163*61; Pos:9,5; OriginSize:163 * 61;
SelectTrackTitle_4 = TargetSize:163*72; Pos:9,0; OriginSize:163 * 72;
SelectTrackTitle_5 = TargetSize:163*86; Pos:9,-5; OriginSize:163 * 86;
SelectTrackTitle_6 = TargetSize:163*96; Pos:9,-9; OriginSize:163 * 96;
SelectTrackTitle_7 = TargetSize:165*99; Pos:8,-10; OriginSize:165 * 99;
SelectTrackTitle_8 = TargetSize:168*112; Pos:7,-16; OriginSize:168 * 112;
SelectTrackTitle_9 = TargetSize:172*123; Pos:5,-15; OriginSize:172 * 123;
SelectTrackTitle_10 = TargetSize:173*127; Pos:3,-13; OriginSize:173 * 127;
SelectTrackTitle_11 = TargetSize:182*115; Pos:-2,-3; OriginSize:182 * 116;
SelectTrackTitle_12 = TargetSize:210*108; Pos:-11,3; OriginSize:210 * 108;
SelectTrackTitle_13 = TargetSize:225*100; Pos:-10,7; OriginSize:225 * 100;
SelectTrackTitle_14 = TargetSize:233*100; Pos:-6,7; OriginSize:233 * 100;
SelectTrackTitle_15 = TargetSize:237*100; Pos:0,7; OriginSize:237 * 100;
SelectTrackTitle_16 = TargetSize:231*100; Pos:10,7; OriginSize:231 * 100;
SelectTrackTitle_17 = TargetSize:186*100; Pos:8,7; OriginSize:186 * 100;
SelectTrackTitle_18 = TargetSize:195*100; Pos:9,7; OriginSize:195 * 100;
SelectTrackTitle_19 = TargetSize:201*100; Pos:6,7; OriginSize:201 * 100;
SelectTrackTitle_20 = TargetSize:219*100; Pos:-3,7; OriginSize:219 * 100;
SelectTrackTitle_21 = TargetSize:235*100; Pos:-9,7; OriginSize:235 * 100;
SelectTrackTitle_22 = TargetSize:235*100; Pos:-9,7; OriginSize:235 * 100;
SelectTrackTitle_23 = TargetSize:235*100; Pos:-9,7; OriginSize:235 * 100;
SelectTrackTitle_24 = TargetSize:237*103; Pos:-8,8; OriginSize:237 * 103;
SelectTrackTitle_25 = TargetSize:237*98; Pos:-9,8; OriginSize:237 * 98;
SelectTrackTitle_26 = TargetSize:236*93; Pos:-10,10; OriginSize:236 * 93;
SelectTrackTitle_27 = TargetSize:246*92; Pos:-5,18; OriginSize:246 * 92;
SelectTrackTitle_28 = TargetSize:251*85; Pos:-2,15; OriginSize:251 * 85;
SelectTrackTitle_29 = TargetSize:237*84; Pos:-9,16; OriginSize:237 * 84;
SelectTrackTitle_30 = TargetSize:237*84; Pos:-9,16; OriginSize:237 * 84;
SelectTrackTitle_31 = TargetSize:236*89; Pos:-10,18; OriginSize:236 * 89;
SelectTrackTitle_32 = TargetSize:236*104; Pos:-10,25; OriginSize:236 * 104;
SelectTrackTitle_33 = TargetSize:237*86; Pos:-9,16; OriginSize:237 * 86;
SelectTrackTitle_34 = TargetSize:237*68; Pos:-9,7; OriginSize:237 * 68;
SelectTrackTitle_35 = TargetSize:221*68; Pos:-3,7; OriginSize:221 * 68;
SelectTrackTitle_36 = TargetSize:203*68; Pos:5,7; OriginSize:203 * 68;
SelectTrackTitle_37 = TargetSize:202*68; Pos:3,7; OriginSize:202 * 68;
SelectTrackTitle_38 = TargetSize:201*68; Pos:2,7; OriginSize:201 * 68;
SelectTrackTitle_39 = TargetSize:199*67; Pos:1,7; OriginSize:199 * 67;
SelectTrackTitle_40 = TargetSize:225*67; Pos:14,7; OriginSize:225 * 67;
SelectTrackTitle_41 = TargetSize:224*67; Pos:15,7; OriginSize:224 * 67;
SelectTrackTitle_42 = TargetSize:222*67; Pos:16,7; OriginSize:222 * 67;
SelectTrackTitle_43 = TargetSize:218*67; Pos:17,7; OriginSize:218 * 67;
SelectTrackTitle_44 = TargetSize:211*67; Pos:16,7; OriginSize:211 * 67;
SelectTrackTitle_45 = TargetSize:205*67; Pos:15,7; OriginSize:205 * 67;
SelectTrackTitle_46 = TargetSize:199*67; Pos:14,7; OriginSize:199 * 67;
SelectTrackTitle_47 = TargetSize:196*67; Pos:12,7; OriginSize:196 * 67;
SelectTrackTitle_48 = TargetSize:193*66; Pos:10,8; OriginSize:193 * 66;
SelectTrackTitle_49 = TargetSize:190*64; Pos:9,8; OriginSize:190 * 64;
SelectTrackTitle_50 = TargetSize:188*61; Pos:8,8; OriginSize:188 * 61;
SelectTrackTitle_51 = TargetSize:188*60; Pos:8,9; OriginSize:188 * 60;
SelectTrackTitle_52 = TargetSize:188*57; Pos:8,9; OriginSize:188 * 58;
SelectTrackTitle_53 = TargetSize:188*57; Pos:8,9; OriginSize:188 * 57;
SelectTrackTitle_54 = TargetSize:188*55; Pos:8,9; OriginSize:188 * 55;
SelectTrackTitle_55 = TargetSize:188*54; Pos:8,10; OriginSize:188 * 54;
SelectTrackTitle_56 = TargetSize:188*54; Pos:8,10; OriginSize:188 * 54;
SelectTrackTitle_57 = TargetSize:188*54; Pos:8,10; OriginSize:188 * 54;
SelectTrackTitle_58 = TargetSize:188*54; Pos:8,10; OriginSize:188 * 54;
SelectTrackTitle_59 = TargetSize:188*54; Pos:8,10; OriginSize:188 * 54;
SelectTrackTitle_60 = TargetSize:188*54; Pos:8,10; OriginSize:188 * 54;
