TargetSize=512 * 256
StartRiding_1 = TargetSize:-510*-254; Pos:0,0; OriginSize:-510 * -291;
StartRiding_2 = TargetSize:217*89; Pos:106,-11; OriginSize:217 * 103;
StartRiding_3 = TargetSize:337*131; Pos:49,-13; OriginSize:337 * 150;
StartRiding_4 = TargetSize:341*172; Pos:44,9; OriginSize:341 * 198;
StartRiding_5 = TargetSize:405*190; Pos:4,-2; OriginSize:405 * 218;
StartRiding_6 = TargetSize:398*204; Pos:-3,5; OriginSize:398 * 234;
StartRiding_7 = TargetSize:392*206; Pos:-10,7; OriginSize:392 * 236;
StartRiding_8 = TargetSize:432*214; Pos:-3,4; OriginSize:432 * 245;
StartRiding_9 = TargetSize:436*227; Pos:-6,3; OriginSize:436 * 260;
StartRiding_10 = TargetSize:449*246; Pos:-7,0; OriginSize:449 * 282;
StartRiding_11 = TargetSize:456*256; Pos:-12,0; OriginSize:456 * 293;
StartRiding_12 = TargetSize:463*255; Pos:-16,0; OriginSize:463 * 292;
StartRiding_13 = TargetSize:469*255; Pos:-19,0; OriginSize:469 * 292;
StartRiding_14 = TargetSize:471*252; Pos:-20,-1; OriginSize:471 * 289;
StartRiding_15 = TargetSize:473*244; Pos:-19,-5; OriginSize:473 * 280;
StartRiding_16 = TargetSize:473*233; Pos:-19,-11; OriginSize:473 * 267;
StartRiding_17 = TargetSize:469*229; Pos:-18,-13; OriginSize:469 * 263;
StartRiding_18 = TargetSize:465*232; Pos:-14,-10; OriginSize:465 * 266;
StartRiding_19 = TargetSize:464*234; Pos:-12,-10; OriginSize:464 * 268;
StartRiding_20 = TargetSize:463*236; Pos:-9,-9; OriginSize:463 * 271;
StartRiding_21 = TargetSize:463*237; Pos:-7,-9; OriginSize:463 * 272;
StartRiding_22 = TargetSize:465*231; Pos:-6,-6; OriginSize:465 * 265;
StartRiding_23 = TargetSize:467*220; Pos:-6,-3; OriginSize:467 * 252;
StartRiding_24 = TargetSize:468*221; Pos:-6,-5; OriginSize:468 * 253;
StartRiding_25 = TargetSize:470*221; Pos:-6,-6; OriginSize:470 * 254;
StartRiding_26 = TargetSize:470*221; Pos:-6,-6; OriginSize:470 * 253;
StartRiding_27 = TargetSize:469*221; Pos:-5,-6; OriginSize:469 * 253;
StartRiding_28 = TargetSize:469*219; Pos:-5,-6; OriginSize:469 * 251;
StartRiding_29 = TargetSize:467*218; Pos:-5,-6; OriginSize:467 * 250;
StartRiding_30 = TargetSize:467*216; Pos:-5,-6; OriginSize:467 * 248;
StartRiding_31 = TargetSize:467*218; Pos:-5,-8; OriginSize:467 * 250;
StartRiding_32 = TargetSize:467*220; Pos:-5,-9; OriginSize:467 * 252;
StartRiding_33 = TargetSize:466*220; Pos:-5,-9; OriginSize:466 * 252;
StartRiding_34 = TargetSize:465*217; Pos:-4,-7; OriginSize:465 * 249;
StartRiding_35 = TargetSize:464*214; Pos:-4,-6; OriginSize:464 * 245;
StartRiding_36 = TargetSize:464*214; Pos:-4,-6; OriginSize:464 * 245;
StartRiding_37 = TargetSize:464*215; Pos:-4,-5; OriginSize:464 * 247;
StartRiding_38 = TargetSize:464*217; Pos:-4,-4; OriginSize:464 * 249;
StartRiding_39 = TargetSize:464*218; Pos:-4,-3; OriginSize:464 * 250;
StartRiding_40 = TargetSize:464*216; Pos:-4,-4; OriginSize:464 * 248;
StartRiding_41 = TargetSize:464*214; Pos:-4,-6; OriginSize:464 * 245;
StartRiding_42 = TargetSize:464*214; Pos:-4,-6; OriginSize:464 * 245;
StartRiding_43 = TargetSize:464*214; Pos:-4,-6; OriginSize:464 * 245;
StartRiding_44 = TargetSize:464*214; Pos:-4,-6; OriginSize:464 * 246;
StartRiding_45 = TargetSize:464*214; Pos:-4,-6; OriginSize:464 * 245;
StartRiding_46 = TargetSize:464*214; Pos:-4,-6; OriginSize:464 * 245;
StartRiding_47 = TargetSize:464*214; Pos:-4,-6; OriginSize:464 * 245;
StartRiding_48 = TargetSize:464*214; Pos:-4,-6; OriginSize:464 * 245;
StartRiding_49 = TargetSize:465*214; Pos:-3,-6; OriginSize:465 * 245;
StartRiding_50 = TargetSize:465*214; Pos:-3,-6; OriginSize:465 * 245;
StartRiding_51 = TargetSize:465*213; Pos:-3,-5; OriginSize:465 * 244;
StartRiding_52 = TargetSize:465*213; Pos:-3,-5; OriginSize:465 * 244;
StartRiding_53 = TargetSize:465*213; Pos:-3,-5; OriginSize:465 * 244;
StartRiding_54 = TargetSize:465*214; Pos:-4,-6; OriginSize:465 * 245;
StartRiding_55 = TargetSize:465*214; Pos:-4,-6; OriginSize:465 * 245;
StartRiding_56 = TargetSize:465*214; Pos:-4,-6; OriginSize:465 * 245;
StartRiding_57 = TargetSize:465*214; Pos:-4,-6; OriginSize:465 * 245;
StartRiding_58 = TargetSize:465*214; Pos:-4,-6; OriginSize:465 * 245;
StartRiding_59 = TargetSize:464*214; Pos:-4,-6; OriginSize:464 * 245;
StartRiding_60 = TargetSize:464*214; Pos:-4,-6; OriginSize:464 * 245;
StartRiding_61 = TargetSize:464*214; Pos:-4,-6; OriginSize:464 * 246;
StartRiding_62 = TargetSize:464*214; Pos:-4,-6; OriginSize:464 * 246;
StartRiding_63 = TargetSize:464*214; Pos:-4,-6; OriginSize:464 * 245;
StartRiding_64 = TargetSize:464*214; Pos:-4,-6; OriginSize:464 * 245;
StartRiding_65 = TargetSize:464*214; Pos:-4,-6; OriginSize:464 * 245;
StartRiding_66 = TargetSize:465*214; Pos:-4,-6; OriginSize:465 * 245;
StartRiding_67 = TargetSize:465*214; Pos:-4,-6; OriginSize:465 * 245;
StartRiding_68 = TargetSize:465*214; Pos:-4,-6; OriginSize:465 * 245;
StartRiding_69 = TargetSize:465*214; Pos:-4,-6; OriginSize:465 * 246;
StartRiding_70 = TargetSize:465*214; Pos:-4,-6; OriginSize:465 * 246;
StartRiding_71 = TargetSize:465*214; Pos:-4,-6; OriginSize:465 * 246;
StartRiding_72 = TargetSize:465*214; Pos:-4,-6; OriginSize:465 * 246;
StartRiding_73 = TargetSize:464*214; Pos:-4,-6; OriginSize:464 * 246;
StartRiding_74 = TargetSize:464*214; Pos:-4,-6; OriginSize:464 * 246;
StartRiding_75 = TargetSize:464*214; Pos:-4,-6; OriginSize:464 * 246;
StartRiding_76 = TargetSize:464*214; Pos:-4,-6; OriginSize:464 * 245;
StartRiding_77 = TargetSize:464*214; Pos:-4,-6; OriginSize:464 * 245;
StartRiding_78 = TargetSize:464*214; Pos:-4,-6; OriginSize:464 * 245;
StartRiding_79 = TargetSize:464*214; Pos:-4,-6; OriginSize:464 * 245;
