TargetSize=400 * 200
ThirdCircle_1 = TargetSize:364*40; Pos:-11,18; OriginSize:364 * 40;
ThirdCircle_2 = TargetSize:364*74; Pos:-11,9; OriginSize:364 * 74;
ThirdCircle_3 = TargetSize:364*92; Pos:-11,0; OriginSize:364 * 92;
ThirdCircle_4 = TargetSize:343*92; Pos:-11,0; OriginSize:343 * 92;
ThirdCircle_5 = TargetSize:264*98; Pos:-35,3; OriginSize:264 * 98;
ThirdCircle_6 = TargetSize:306*98; Pos:-14,3; OriginSize:306 * 98;
ThirdCircle_7 = TargetSize:291*79; Pos:-6,6; OriginSize:291 * 79;
ThirdCircle_8 = TargetSize:258*85; Pos:-12,3; OriginSize:258 * 85;
ThirdCircle_9 = TargetSize:337*137; Pos:-11,1; OriginSize:337 * 137;
ThirdCircle_10 = TargetSize:337*137; Pos:-11,1; OriginSize:337 * 137;
ThirdCircle_11 = TargetSize:283*132; Pos:-6,10; OriginSize:283 * 132;
ThirdCircle_12 = TargetSize:227*134; Pos:-4,9; OriginSize:227 * 134;
ThirdCircle_13 = TargetSize:275*104; Pos:-27,-6; OriginSize:275 * 105;
ThirdCircle_14 = TargetSize:276*104; Pos:-27,-6; OriginSize:276 * 105;
ThirdCircle_15 = TargetSize:292*151; Pos:-3,16; OriginSize:292 * 151;
ThirdCircle_16 = TargetSize:271*151; Pos:-24,16; OriginSize:271 * 151;
ThirdCircle_17 = TargetSize:336*158; Pos:7,20; OriginSize:336 * 158;
ThirdCircle_18 = TargetSize:336*158; Pos:7,20; OriginSize:336 * 158;
ThirdCircle_19 = TargetSize:336*104; Pos:7,-6; OriginSize:336 * 105;
ThirdCircle_20 = TargetSize:277*104; Pos:36,-6; OriginSize:277 * 105;
ThirdCircle_21 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
ThirdCircle_22 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
ThirdCircle_23 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
ThirdCircle_24 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
ThirdCircle_25 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
ThirdCircle_26 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
ThirdCircle_27 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
ThirdCircle_28 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
ThirdCircle_29 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
ThirdCircle_30 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
ThirdCircle_31 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
ThirdCircle_32 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
ThirdCircle_33 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
ThirdCircle_34 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
ThirdCircle_35 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
ThirdCircle_36 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
ThirdCircle_37 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
ThirdCircle_38 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
ThirdCircle_39 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
ThirdCircle_40 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
ThirdCircle_41 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
ThirdCircle_42 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
ThirdCircle_43 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
ThirdCircle_44 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
ThirdCircle_45 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
ThirdCircle_46 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
ThirdCircle_47 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
ThirdCircle_48 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
ThirdCircle_49 = TargetSize:213*104; Pos:4,-6; OriginSize:213 * 105;
ThirdCircle_50 = TargetSize:344*104; Pos:-11,-6; OriginSize:344 * 105;
ThirdCircle_51 = TargetSize:344*104; Pos:-11,-6; OriginSize:344 * 105;
ThirdCircle_52 = TargetSize:236*126; Pos:16,4; OriginSize:237 * 126;
ThirdCircle_53 = TargetSize:236*126; Pos:16,4; OriginSize:237 * 126;
ThirdCircle_54 = TargetSize:363*101; Pos:-11,-4; OriginSize:363 * 101;
ThirdCircle_55 = TargetSize:324*116; Pos:-38,11; OriginSize:324 * 116;
ThirdCircle_56 = TargetSize:361*126; Pos:-19,27; OriginSize:361 * 126;
ThirdCircle_57 = TargetSize:361*117; Pos:-19,31; OriginSize:361 * 118;
ThirdCircle_58 = TargetSize:320*138; Pos:-15,30; OriginSize:320 * 138;
ThirdCircle_59 = TargetSize:320*138; Pos:-15,30; OriginSize:320 * 138;
ThirdCircle_60 = TargetSize:314*78; Pos:-33,11; OriginSize:314 * 78;
ThirdCircle_61 = TargetSize:297*78; Pos:-41,11; OriginSize:297 * 78;
ThirdCircle_62 = TargetSize:284*120; Pos:-7,32; OriginSize:284 * 120;
