TargetSize=1920 * 1080
TimeCountDown_1 = TargetSize:393*405; Pos:-763,333; OriginSize:105 * 108;
TimeCountDown_2 = TargetSize:952*896; Pos:-37,16; OriginSize:254 * 239;
TimeCountDown_3 = TargetSize:390*435; Pos:3,11; OriginSize:104 * 116;
TimeCountDown_4 = TargetSize:476*378; Pos:-9,5; OriginSize:127 * 101;
TimeCountDown_5 = TargetSize:461*363; Pos:-9,1; OriginSize:123 * 97;
TimeCountDown_6 = TargetSize:446*348; Pos:-9,1; OriginSize:119 * 93;
TimeCountDown_7 = TargetSize:435*337; Pos:-11,3; OriginSize:116 * 90;
TimeCountDown_8 = TargetSize:420*330; Pos:-11,3; OriginSize:112 * 88;
TimeCountDown_9 = TargetSize:408*322; Pos:-9,3; OriginSize:109 * 86;
TimeCountDown_10 = TargetSize:397*318; Pos:-7,1; OriginSize:106 * 85;
TimeCountDown_11 = TargetSize:382*315; Pos:-7,3; OriginSize:102 * 84;
TimeCountDown_12 = TargetSize:375*307; Pos:-7,3; OriginSize:100 * 82;
TimeCountDown_13 = TargetSize:78*67; Pos:-1,0; OriginSize:21 * 18;
TimeCountDown_14 = TargetSize:1582*1076; Pos:-48,-1; OriginSize:422 * 287;
TimeCountDown_15 = TargetSize:157*412; Pos:-15,3; OriginSize:42 * 110;
TimeCountDown_16 = TargetSize:330*382; Pos:-7,3; OriginSize:88 * 102;
TimeCountDown_17 = TargetSize:318*367; Pos:-9,3; OriginSize:85 * 98;
TimeCountDown_18 = TargetSize:307*356; Pos:-11,1; OriginSize:82 * 95;
TimeCountDown_19 = TargetSize:296*341; Pos:-13,1; OriginSize:79 * 91;
TimeCountDown_20 = TargetSize:292*333; Pos:-11,1; OriginSize:78 * 89;
TimeCountDown_21 = TargetSize:285*326; Pos:-11,1; OriginSize:76 * 87;
TimeCountDown_22 = TargetSize:281*318; Pos:-9,1; OriginSize:75 * 85;
TimeCountDown_23 = TargetSize:273*311; Pos:-9,1; OriginSize:73 * 83;
TimeCountDown_24 = TargetSize:266*303; Pos:-9,1; OriginSize:71 * 81;
TimeCountDown_25 = TargetSize:78*90; Pos:-1,0; OriginSize:21 * 24;
TimeCountDown_26 = TargetSize:1076*1076; Pos:-421,-1; OriginSize:287 * 287;
TimeCountDown_27 = TargetSize:693*840; Pos:-31,11; OriginSize:185 * 224;
TimeCountDown_28 = TargetSize:292*453; Pos:-3,5; OriginSize:78 * 121;
TimeCountDown_29 = TargetSize:318*431; Pos:-5,1; OriginSize:85 * 115;
TimeCountDown_30 = TargetSize:303*416; Pos:-9,1; OriginSize:81 * 111;
TimeCountDown_31 = TargetSize:296*401; Pos:-9,1; OriginSize:79 * 107;
TimeCountDown_32 = TargetSize:285*393; Pos:-11,1; OriginSize:76 * 105;
TimeCountDown_33 = TargetSize:285*378; Pos:-11,1; OriginSize:76 * 101;
TimeCountDown_34 = TargetSize:277*371; Pos:-11,1; OriginSize:74 * 99;
TimeCountDown_35 = TargetSize:273*356; Pos:-9,1; OriginSize:73 * 95;
TimeCountDown_36 = TargetSize:266*348; Pos:-9,1; OriginSize:71 * 93;
TimeCountDown_37 = TargetSize:262*341; Pos:-7,1; OriginSize:70 * 91;
TimeCountDown_38 = TargetSize:56*67; Pos:-1,0; OriginSize:15 * 18;
TimeCountDown_39 = TargetSize:1125*1076; Pos:270,-1; OriginSize:300 * 287;
TimeCountDown_40 = TargetSize:150*480; Pos:-11,15; OriginSize:40 * 128;
TimeCountDown_41 = TargetSize:307*431; Pos:-3,5; OriginSize:82 * 115;
TimeCountDown_42 = TargetSize:296*416; Pos:-5,5; OriginSize:79 * 111;
TimeCountDown_43 = TargetSize:285*401; Pos:-7,1; OriginSize:76 * 107;
TimeCountDown_44 = TargetSize:273*390; Pos:-9,3; OriginSize:73 * 104;
TimeCountDown_45 = TargetSize:273*378; Pos:-9,1; OriginSize:73 * 101;
TimeCountDown_46 = TargetSize:266*367; Pos:-9,3; OriginSize:71 * 98;
TimeCountDown_47 = TargetSize:262*360; Pos:-7,3; OriginSize:70 * 96;
TimeCountDown_48 = TargetSize:258*352; Pos:-5,3; OriginSize:69 * 94;
TimeCountDown_49 = TargetSize:251*345; Pos:-5,3; OriginSize:67 * 92;
TimeCountDown_50 = TargetSize:75*97; Pos:-3,0; OriginSize:20 * 26;
TimeCountDown_51 = TargetSize:-1912*-1072; Pos:0,0; OriginSize:-510 * -286;
TimeCountDown_52 = TargetSize:701*810; Pos:-28,37; OriginSize:187 * 216;
TimeCountDown_53 = TargetSize:292*420; Pos:-3,15; OriginSize:78 * 112;
TimeCountDown_54 = TargetSize:322*375; Pos:-7,3; OriginSize:86 * 100;
TimeCountDown_55 = TargetSize:311*360; Pos:-9,3; OriginSize:83 * 96;
TimeCountDown_56 = TargetSize:300*348; Pos:-11,1; OriginSize:80 * 93;
TimeCountDown_57 = TargetSize:292*337; Pos:-11,3; OriginSize:78 * 90;
TimeCountDown_58 = TargetSize:288*330; Pos:-9,3; OriginSize:77 * 88;
TimeCountDown_59 = TargetSize:281*322; Pos:-9,3; OriginSize:75 * 86;
TimeCountDown_60 = TargetSize:273*315; Pos:-9,3; OriginSize:73 * 84;
TimeCountDown_61 = TargetSize:270*307; Pos:-7,3; OriginSize:72 * 82;
TimeCountDown_62 = TargetSize:262*303; Pos:-7,5; OriginSize:70 * 81;
TimeCountDown_63 = TargetSize:56*63; Pos:-1,1; OriginSize:15 * 17;
TimeCountDown_64 = TargetSize:1661*1076; Pos:-13,-1; OriginSize:443 * 287;
TimeCountDown_65 = TargetSize:157*431; Pos:-15,13; OriginSize:42 * 115;
TimeCountDown_66 = TargetSize:330*382; Pos:-7,3; OriginSize:88 * 102;
TimeCountDown_67 = TargetSize:318*367; Pos:-9,3; OriginSize:85 * 98;
TimeCountDown_68 = TargetSize:307*356; Pos:-11,1; OriginSize:82 * 95;
TimeCountDown_69 = TargetSize:296*341; Pos:-13,1; OriginSize:79 * 91;
TimeCountDown_70 = TargetSize:292*333; Pos:-11,1; OriginSize:78 * 89;
TimeCountDown_71 = TargetSize:285*330; Pos:-11,3; OriginSize:76 * 88;
TimeCountDown_72 = TargetSize:281*322; Pos:-9,3; OriginSize:75 * 86;
TimeCountDown_73 = TargetSize:273*315; Pos:-9,3; OriginSize:73 * 84;
TimeCountDown_74 = TargetSize:266*307; Pos:-9,3; OriginSize:71 * 82;
TimeCountDown_75 = TargetSize:78*90; Pos:-1,0; OriginSize:21 * 24;
TimeCountDown_76 = TargetSize:1605*1076; Pos:-157,-1; OriginSize:428 * 287;
TimeCountDown_77 = TargetSize:633*783; Pos:-65,50; OriginSize:169 * 209;
TimeCountDown_78 = TargetSize:303*450; Pos:-1,15; OriginSize:81 * 120;
TimeCountDown_79 = TargetSize:341*420; Pos:-5,0; OriginSize:91 * 112;
TimeCountDown_80 = TargetSize:326*408; Pos:-9,1; OriginSize:87 * 109;
TimeCountDown_81 = TargetSize:315*393; Pos:-11,1; OriginSize:84 * 105;
TimeCountDown_82 = TargetSize:307*386; Pos:-11,1; OriginSize:82 * 103;
TimeCountDown_83 = TargetSize:300*375; Pos:-11,3; OriginSize:80 * 100;
TimeCountDown_84 = TargetSize:296*360; Pos:-9,3; OriginSize:79 * 96;
TimeCountDown_85 = TargetSize:288*352; Pos:-9,3; OriginSize:77 * 94;
TimeCountDown_86 = TargetSize:281*345; Pos:-9,3; OriginSize:75 * 92;
TimeCountDown_87 = TargetSize:277*337; Pos:-7,3; OriginSize:74 * 90;
TimeCountDown_88 = TargetSize:60*63; Pos:0,1; OriginSize:16 * 17;
TimeCountDown_89 = TargetSize:1575*1076; Pos:-71,-1; OriginSize:420 * 287;
TimeCountDown_90 = TargetSize:157*453; Pos:-15,5; OriginSize:42 * 121;
TimeCountDown_91 = TargetSize:322*438; Pos:-7,1; OriginSize:86 * 117;
TimeCountDown_92 = TargetSize:315*423; Pos:-7,1; OriginSize:84 * 113;
TimeCountDown_93 = TargetSize:303*408; Pos:-9,1; OriginSize:81 * 109;
TimeCountDown_94 = TargetSize:292*393; Pos:-11,1; OriginSize:78 * 105;
TimeCountDown_95 = TargetSize:285*386; Pos:-11,1; OriginSize:76 * 103;
TimeCountDown_96 = TargetSize:281*371; Pos:-9,1; OriginSize:75 * 99;
TimeCountDown_97 = TargetSize:273*363; Pos:-9,1; OriginSize:73 * 97;
TimeCountDown_98 = TargetSize:270*356; Pos:-7,1; OriginSize:72 * 95;
TimeCountDown_99 = TargetSize:262*345; Pos:-7,3; OriginSize:70 * 92;
TimeCountDown_100 = TargetSize:75*97; Pos:0,0; OriginSize:20 * 26;
TimeCountDown_101 = TargetSize:187*135; Pos:-112,468; OriginSize:50 * 36;
TimeCountDown_102 = TargetSize:753*795; Pos:-31,3; OriginSize:201 * 212;
TimeCountDown_103 = TargetSize:296*408; Pos:-5,5; OriginSize:79 * 109;
TimeCountDown_104 = TargetSize:322*375; Pos:-7,3; OriginSize:86 * 100;
TimeCountDown_105 = TargetSize:311*363; Pos:-9,1; OriginSize:83 * 97;
TimeCountDown_106 = TargetSize:300*348; Pos:-11,1; OriginSize:80 * 93;
TimeCountDown_107 = TargetSize:292*337; Pos:-11,3; OriginSize:78 * 90;
TimeCountDown_108 = TargetSize:292*330; Pos:-11,3; OriginSize:78 * 88;
TimeCountDown_109 = TargetSize:285*322; Pos:-11,3; OriginSize:76 * 86;
TimeCountDown_110 = TargetSize:277*311; Pos:-11,1; OriginSize:74 * 83;
TimeCountDown_111 = TargetSize:270*303; Pos:-7,1; OriginSize:72 * 81;
