TargetSize=460 * 184
UnfinishRace_1 = TargetSize:387*126; Pos:-36,-11; OriginSize:387 * 126;
UnfinishRace_2 = TargetSize:387*111; Pos:-36,-2; OriginSize:387 * 112;
UnfinishRace_3 = TargetSize:387*111; Pos:-36,-2; OriginSize:387 * 112;
UnfinishRace_4 = TargetSize:387*126; Pos:-36,5; OriginSize:387 * 126;
UnfinishRace_5 = TargetSize:383*126; Pos:-38,5; OriginSize:383 * 126;
UnfinishRace_6 = TargetSize:388*120; Pos:-31,2; OriginSize:388 * 120;
UnfinishRace_7 = TargetSize:397*120; Pos:-27,2; OriginSize:397 * 120;
UnfinishRace_8 = TargetSize:390*124; Pos:-21,4; OriginSize:390 * 124;
UnfinishRace_9 = TargetSize:390*124; Pos:-21,4; OriginSize:390 * 124;
UnfinishRace_10 = TargetSize:397*119; Pos:-24,1; OriginSize:397 * 119;
UnfinishRace_11 = TargetSize:389*113; Pos:-20,-1; OriginSize:389 * 114;
UnfinishRace_12 = TargetSize:404*111; Pos:-28,-2; OriginSize:404 * 112;
UnfinishRace_13 = TargetSize:404*111; Pos:-28,-2; OriginSize:404 * 112;
UnfinishRace_14 = TargetSize:349*139; Pos:0,11; OriginSize:349 * 139;
UnfinishRace_15 = TargetSize:349*139; Pos:0,11; OriginSize:349 * 139;
UnfinishRace_16 = TargetSize:349*131; Pos:0,7; OriginSize:349 * 131;
UnfinishRace_17 = TargetSize:349*131; Pos:0,7; OriginSize:349 * 131;
UnfinishRace_18 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_19 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_20 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_21 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_22 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_23 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_24 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_25 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_26 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_27 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_28 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_29 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_30 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_31 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_32 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_33 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_34 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_35 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_36 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_37 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_38 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_39 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_40 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_41 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_42 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_43 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_44 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_45 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_46 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_47 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_48 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_49 = TargetSize:349*111; Pos:0,-2; OriginSize:349 * 112;
UnfinishRace_50 = TargetSize:447*111; Pos:-6,-2; OriginSize:447 * 112;
UnfinishRace_51 = TargetSize:432*121; Pos:-7,2; OriginSize:432 * 121;
UnfinishRace_52 = TargetSize:432*121; Pos:-7,2; OriginSize:432 * 121;
UnfinishRace_53 = TargetSize:393*117; Pos:-26,0; OriginSize:393 * 117;
UnfinishRace_54 = TargetSize:330*117; Pos:0,0; OriginSize:330 * 117;
UnfinishRace_55 = TargetSize:327*141; Pos:-6,12; OriginSize:327 * 141;
UnfinishRace_56 = TargetSize:327*141; Pos:-6,12; OriginSize:327 * 141;
UnfinishRace_57 = TargetSize:311*148; Pos:1,16; OriginSize:311 * 148;
UnfinishRace_58 = TargetSize:340*148; Pos:-13,16; OriginSize:340 * 148;
UnfinishRace_59 = TargetSize:340*111; Pos:-13,-2; OriginSize:340 * 112;
UnfinishRace_60 = TargetSize:359*111; Pos:-22,-2; OriginSize:359 * 112;
UnfinishRace_61 = TargetSize:311*136; Pos:1,10; OriginSize:311 * 136;
UnfinishRace_62 = TargetSize:311*148; Pos:1,4; OriginSize:311 * 148;
